data_id,city_name,country_id,year,population,human_development_index,mobility_index,air_quality_index,energy_consumption_index,education_index,school_life_expectancy,healthcare_index,life_expectancy,income_inequality_index,employment_rate,governance_index,safety_index,internet_quality_index,city_development_index
C20_2014,Akure,NGA,2014-2015,536519,59.77,63.53,38.35,51.08,51.72,8,57.80,51,69.79,49.77,59.95,55.42,34.92,53.23
C21_2014,Al Ahmadi,KWT,2014-2015,807418,71.71,64.38,55.72,68.05,63.92,10,73.99,60,77.22,55.21,55.62,51.67,54.95,62.07
C22_2014,Al Basrah al Qadimah,IRQ,2014-2015,2659779,53.33,46.24,36.14,55.09,52.74,8,45.79,45,61.47,53.64,53.02,54.21,53.81,51.22
C23_2014,Al Hoceima,MAR,2014-2015,399654,59.14,62.21,51.64,51.66,46.36,7,67.24,48,63.82,46.07,50.30,24.03,55.86,51.92
C24_2014,Al Hudaydah,YEM,2014-2015,555046,61.79,67.63,40.73,55.36,54.20,8,61.11,57,70.06,46.59,57.57,68.01,57.24,57.85
C25_2014,Al Kharj,SAU,2014-2015,357922,70.03,51.40,56.42,50.29,53.43,8,73.68,57,82.99,60.72,60.23,40.51,56.00,58.57
C26_2014,Al Khobar,SAU,2014-2015,338547,73.14,34.68,44.32,57.99,81.49,12,73.69,56,64.24,46.58,62.00,51.32,80.81,59.71
C27_2014,Al Mahallah al Kubra,EGY,2014-2015,501690,56.82,58.82,49.78,37.38,41.11,6,65.99,57,63.36,49.34,53.61,55.46,59.98,53.48
C28_2014,Al Mansurah,EGY,2014-2015,1734823,54.41,55.92,60.61,44.65,40.84,6,60.42,56,61.97,46.91,50.38,45.66,60.72,52.81
C29_2014,Al Mawsil al Jadidah,IRQ,2014-2015,600000,58.04,58.40,37.52,40.49,47.13,7,63.00,49,63.98,22.81,56.93,46.54,64.41,50.12
C30_2014,Aleppo,SYR,2014-2015,4694304,61.27,57.65,36.61,58.06,53.68,8,55.62,47,74.50,52.10,50.76,50.01,67.24,55.62
C31_2014,Alexandria,EGY,2014-2015,2559445,59.23,53.87,35.78,72.88,72.42,11,59.26,51,46.01,52.32,68.40,58.71,57.74,57.74
C32_2014,Algiers,DZA,2014-2015,1010066,62.67,26.61,41.44,60.97,69.52,10,55.39,51,63.10,30.61,40.76,54.96,33.00,47.64
C33_2014,Aligarh,IND,2014-2015,1275098,75.63,54.04,57.63,59.73,74.34,11,67.19,60,85.36,65.81,66.63,54.17,58.19,64.31
C34_2014,Allahabad,IND,2014-2015,1614050,70.02,63.95,76.62,52.25,74.79,11,63.49,67,71.78,73.51,60.67,60.21,77.54,67.48
C35_2014,Almaty,KAZ,2014-2015,520471,58.68,47.56,35.98,41.18,39.47,6,53.08,52,83.48,46.13,61.36,67.03,8.13,48.34
C36_2014,Amara,IRQ,2014-2015,1698026,58.95,32.69,46.01,64.54,54.97,8,60.54,53,61.35,39.89,63.19,52.55,58.44,53.42
C37_2014,Amman,JOR,2014-2015,683290,55.16,22.48,29.46,52.00,48.02,7,55.69,41,61.77,28.70,30.48,37.85,66.05,43.25
C38_2014,Amravati,IND,2014-2015,1250325,60.70,58.64,70.73,49.88,72.86,11,52.35,60,56.89,46.05,56.89,56.83,43.45,56.46
C39_2014,Amritsar,IND,2014-2015,1097641,59.53,53.62,26.24,41.61,57.47,9,50.38,42,70.75,54.00,52.18,49.99,77.26,53.35
C40_2014,Amsterdam,NLD,2014-2015,4544982,69.90,47.11,32.52,22.72,75.02,11,68.78,52,65.89,76.95,65.60,55.65,52.54,56.28
C41_2014,Ankara,TUR,2014-2015,625527,62.88,54.22,38.16,16.15,60.95,9,71.63,52,56.07,65.01,54.58,44.86,24.55,48.62
C42_2014,Anqing,CHN,2014-2015,463251,67.32,51.96,40.90,59.19,54.22,8,71.57,57,76.17,52.60,52.39,58.91,64.84,58.28
C43_2014,Anqiu,CHN,2014-2015,742108,56.42,39.19,46.17,51.66,49.31,7,70.57,55,49.39,44.41,65.41,48.34,60.06,52.45
C44_2014,Ansan,KOR,2014-2015,1549601,64.33,48.53,27.42,32.59,62.26,9,72.74,50,58.00,55.79,55.14,50.54,59.89,52.29
C45_2014,Anshan,CHN,2014-2015,1050112,61.63,57.22,41.36,66.83,55.83,8,73.50,51,55.55,49.91,49.43,39.49,59.00,54.81
C46_2014,Antalya,TUR,2014-2015,2486060,53.63,61.46,64.97,21.24,44.51,7,58.33,59,58.04,66.83,54.00,52.40,66.87,54.87
C47_2014,Antananarivo,MDG,2014-2015,754896,50.33,54.44,42.26,42.32,38.47,6,56.79,54,55.73,47.67,53.07,61.45,50.14,50.23
C48_2014,Antipolo,PHL,2014-2015,395168,45.31,49.64,40.78,57.16,43.50,7,57.15,48,35.29,73.41,56.35,45.65,46.41,50.53
C49_2014,Antofagasta,CHL,2014-2015,1012203,67.85,49.53,31.51,52.09,71.66,11,58.14,49,73.76,55.81,58.76,56.80,64.33,57.24
C50_2014,Antwerp,BEL,2014-2015,1089017,65.34,37.12,49.91,42.63,59.99,9,64.33,55,71.69,70.25,59.89,49.81,46.94,55.26
C51_2014,Anyang,CHN,2014-2015,566000,64.28,45.73,66.13,72.59,45.19,7,67.83,59,79.81,37.49,51.76,43.57,70.71,58.08
C52_2014,Ar Rayyan,QAT,2014-2015,889202,57.55,57.53,59.28,54.89,40.08,6,64.08,57,68.48,62.58,63.49,47.28,45.82,56.35
C53_2014,Aracaju,BRA,2014-2015,844030,59.83,58.56,49.30,53.44,47.36,7,57.63,54,74.51,50.25,58.66,55.59,62.14,56.74
C54_2014,Arequipa,PER,2014-2015,1308346,58.12,58.37,72.16,63.65,65.68,10,52.74,62,55.93,57.29,56.28,60.16,48.27,59.05
C55_2014,Asansol,IND,2014-2015,189258,56.48,32.12,44.83,65.76,74.52,11,49.02,53,45.89,55.88,53.79,65.15,51.22,53.82
C56_2014,Ashdod,ISR,2014-2015,735482,60.29,62.24,48.17,57.11,66.40,10,59.06,50,55.41,64.22,66.48,42.73,68.56,59.04
C57_2014,Ashgabat,TKM,2014-2015,774558,44.87,54.82,38.15,63.96,49.39,7,59.01,44,26.21,67.45,52.00,34.67,57.92,50.36
C58_2014,Asmara,ERI,2014-2015,842205,45.43,66.77,53.62,51.11,34.56,5,59.22,53,42.51,57.75,45.19,46.63,70.42,52.78
C59_2014,Astana,KAZ,2014-2015,2887087,53.90,45.76,65.79,56.75,34.36,5,54.35,59,72.99,71.06,56.85,57.70,72.66,58.83
C60_2014,Asuncion,PRY,2014-2015,426414,49.32,58.51,54.17,62.22,42.49,6,61.55,54,43.92,65.34,56.54,46.47,60.62,55.18
C61_2014,Asyut,EGY,2014-2015,3163009,70.07,45.63,44.05,53.27,72.79,11,63.52,55,73.91,59.97,57.92,55.94,79.96,60.70
C62_2014,Athens,GRC,2014-2015,1435785,50.35,31.81,26.90,43.64,38.04,6,48.28,35,64.73,30.87,29.72,31.04,24.15,36.92
C63_2014,Auckland,NZL,2014-2015,1314455,72.64,50.56,75.89,77.27,74.14,11,78.41,73,65.36,78.24,67.20,64.12,23.70,65.49
C64_2014,Aurangabad,IND,2014-2015,901463,64.26,52.16,56.95,45.61,58.17,9,56.69,58,77.92,49.06,57.04,61.27,22.22,53.71
C65_2014,Austin,USA,2014-2015,765140,63.92,70.27,49.82,58.53,51.50,8,67.82,56,72.44,55.77,59.74,51.57,66.92,60.44
C66_2014,Bacoor,PHL,2014-2015,583042,55.78,60.56,51.85,65.99,53.81,8,57.07,52,56.47,46.70,54.39,48.54,37.02,53.24
C67_2014,Baghdad,IRQ,2014-2015,6204842,53.40,55.59,47.37,53.85,41.84,6,62.97,61,55.39,56.93,63.29,72.72,38.30,54.83
C68_2014,Bahawalpur,PAK,2014-2015,696261,49.60,55.70,40.74,55.57,47.33,7,57.40,45,44.06,56.19,56.06,37.12,50.15,50.03
C69_2014,Baishan,CHN,2014-2015,607188,60.34,54.10,36.49,43.68,65.17,10,69.25,52,46.59,62.08,65.35,51.74,56.90,55.14
C70_2014,Baixada Santista,BRA,2014-2015,1755103,68.10,55.72,36.23,70.12,62.94,9,56.84,47,84.51,51.08,58.19,48.25,78.51,60.24
C71_2014,Baku,AZE,2014-2015,2180456,71.60,57.20,62.83,13.12,50.99,8,63.81,48,100.00,45.41,52.60,17.00,11.88,47.48
C72_2014,Balikpapan,IDN,2014-2015,608144,57.43,51.49,33.77,56.25,68.13,10,54.65,45,49.51,50.63,66.25,45.32,74.78,55.08
C73_2014,Bamako,MLI,2014-2015,2147896,63.84,54.86,72.43,55.13,61.71,9,67.23,62,62.59,60.54,59.33,46.61,68.53,60.90
C74_2014,Bamenda,CMR,2014-2015,425567,53.26,56.08,39.26,64.17,46.00,7,61.00,50,52.77,57.48,55.18,50.40,49.30,53.16
C75_2014,Bandar Lampung,IDN,2014-2015,962330,69.86,68.31,58.15,54.55,67.95,10,72.07,63,69.56,62.14,56.28,58.13,67.53,63.47
C76_2014,Bandung,IDN,2014-2015,2466830,56.78,48.47,72.07,52.25,61.15,9,51.45,57,57.74,37.09,60.83,47.50,59.77,54.83
C77_2014,Bangalore,IND,2014-2015,9741740,63.94,44.71,33.82,47.64,78.07,12,65.63,51,48.11,82.47,44.35,53.10,77.87,57.58
C78_2014,Banghazi,LBY,2014-2015,735916,59.69,47.10,42.86,45.09,47.42,7,76.52,57,55.12,62.07,57.31,52.55,56.79,54.28
C79_2014,Bangkok,THA,2014-2015,9164225,60.07,29.91,32.31,21.38,52.22,8,61.92,47,66.07,75.40,42.72,46.12,22.01,45.01
C80_2014,Bangui,CAF,2014-2015,781034,61.27,71.11,30.81,59.28,55.75,8,52.61,44,75.45,78.27,54.72,48.41,71.35,59.78
C81_2014,Banjarmasin,IDN,2014-2015,666849,51.30,49.26,48.84,57.10,56.15,8,51.24,52,46.50,60.74,56.63,57.14,54.28,53.79
C82_2014,Baoding,CHN,2014-2015,1727253,54.84,49.13,56.52,57.72,59.02,9,71.31,55,34.19,55.11,55.95,37.17,64.04,54.02
C83_2014,Baoji,CHN,2014-2015,973521,64.13,73.26,39.11,46.20,64.10,10,54.39,50,73.89,61.18,59.52,55.05,81.69,60.84
C84_2014,Baotou,CHN,2014-2015,1919084,54.21,44.34,54.07,55.04,49.81,7,59.97,51,52.85,61.51,61.89,39.99,51.52,53.10
C85_2014,Barcelona,ESP,2014-2015,5206442,65.69,45.36,25.24,53.96,65.03,10,65.07,45,66.97,74.10,48.23,45.99,53.07,54.30
C86_2014,Bareilly,IND,2014-2015,1076004,65.81,46.58,78.65,60.63,58.49,9,61.98,62,76.95,40.98,51.17,46.78,74.82,59.70
C87_2014,Barquisimeto,VEN,2014-2015,1130907,63.20,53.67,26.68,41.32,67.23,10,65.17,51,57.21,63.47,57.19,59.79,52.03,54.38
C88_2014,Barranquilla,COL,2014-2015,2037089,70.91,39.87,55.50,63.42,61.36,9,75.42,63,75.95,60.28,57.50,59.24,63.40,61.19
C89_2014,Basra,IRQ,2014-2015,1202338,55.23,48.90,61.05,54.58,49.95,7,66.87,61,48.86,81.88,64.94,55.43,43.54,57.60
C90_2014,Batam,IDN,2014-2015,1138844,53.14,50.38,41.73,59.87,50.10,8,51.41,49,57.90,46.92,53.85,53.53,83.07,54.88
C91_2014,Bazhong,CHN,2014-2015,631784,52.71,39.04,62.97,64.06,38.29,6,53.63,55,66.21,62.64,63.29,47.02,65.07,56.22
C92_2014,Beijing,CHN,2014-2015,18038726,67.91,41.45,31.47,16.85,75.35,11,72.92,61,55.45,82.53,68.38,79.50,13.57,53.75
C93_2014,Beira,MOZ,2014-2015,448419,45.39,54.36,54.42,55.49,36.98,6,47.96,55,51.23,32.84,55.00,63.80,60.51,51.26
C94_2014,Beirut,LBN,2014-2015,2178834,40.85,15.43,16.62,15.74,18.71,3,33.74,29,70.09,36.22,25.59,38.10,5.49,27.57
C95_2014,Bekasi,IDN,2014-2015,2724481,71.35,49.43,42.47,48.10,69.28,10,70.12,54,74.66,45.21,55.39,50.65,70.63,57.59
C96_2014,Belem,BRA,2014-2015,2147707,52.81,50.57,51.12,41.63,41.09,6,61.21,53,56.13,80.71,72.97,46.19,45.74,54.74
C97_2014,Belfast,GBR,2014-2015,649520,69.82,42.76,54.76,54.87,82.60,12,62.92,57,63.94,78.30,53.77,53.95,48.18,59.61
C98_2014,Belgaum,IND,2014-2015,1362815,58.24,69.61,59.40,55.99,60.81,9,62.99,59,50.92,74.25,58.67,55.55,53.88,60.21
C99_2014,Belgrade,SRB,2014-2015,5683651,59.85,71.19,55.48,16.96,57.25,9,65.06,63,57.23,64.83,54.56,68.14,20.36,53.11
C100_2014,Belo Horizonte,BRA,2014-2015,832708,57.25,71.15,56.15,55.10,57.66,9,56.78,61,57.31,66.61,64.63,71.16,59.41,61.60
C101_2014,Bengbu,CHN,2014-2015,558022,51.81,49.63,49.64,55.23,48.54,7,55.77,50,51.11,51.27,56.97,45.14,37.55,50.09
C102_2014,Benguela,AGO,2014-2015,1452656,60.58,48.59,50.63,41.46,49.51,7,72.30,61,59.93,81.50,61.53,59.33,53.89,57.87
C103_2014,Benin,NGA,2014-2015,509443,58.53,57.88,75.05,53.20,51.15,8,59.03,66,65.41,47.08,66.38,63.04,39.83,57.81
C104_2014,Benoni,ZAF,2014-2015,1056612,64.43,71.67,50.51,47.93,79.70,12,55.99,57,57.59,57.81,57.18,63.83,81.35,62.36
C105_2014,Benxi,CHN,2014-2015,830316,55.83,49.75,49.16,43.87,46.09,7,70.87,55,50.53,36.69,63.66,45.94,66.27,52.28
C106_2014,Bergamo,ITA,2014-2015,3500863,58.93,62.73,46.12,48.14,66.66,10,54.28,44,55.84,67.68,52.93,31.50,66.30,55.22
C107_2014,Berlin,DEU,2014-2015,638500,69.65,41.12,41.02,31.34,57.51,9,75.91,56,75.54,67.80,57.28,49.76,34.33,53.16
C108_2014,Bhavnagar,IND,2014-2015,778268,56.63,40.17,55.65,59.90,55.30,8,65.81,61,48.79,57.95,60.25,62.96,55.12,56.19
C109_2014,Bhiwandi,IND,2014-2015,2054956,52.62,43.27,53.11,72.97,38.37,6,68.64,57,50.85,31.11,59.62,50.41,57.28,52.56
C110_2014,Bhopal,IND,2014-2015,977351,45.74,54.44,52.73,46.14,49.42,7,53.19,57,34.61,69.96,54.24,64.19,34.22,51.31
C111_2014,Bhubaneswar,IND,2014-2015,806927,70.01,68.29,54.40,60.82,76.33,11,59.52,49,74.18,77.89,45.70,33.01,52.00,60.21
C112_2014,Bien Hoa,VNM,2014-2015,687934,64.43,60.89,35.96,53.16,61.66,9,74.29,54,57.35,42.41,57.36,52.34,58.61,55.40
C113_2014,Bikaner,IND,2014-2015,356147,55.58,51.66,60.86,67.89,55.37,8,55.68,59,55.68,52.87,56.01,60.51,71.25,58.78
C114_2014,Bilbao,ESP,2014-2015,847140,73.84,60.69,49.20,67.56,77.52,12,83.17,67,60.82,78.25,56.91,67.53,58.41,66.01
C115_2014,Binzhou,CHN,2014-2015,2498096,51.45,54.55,53.21,41.70,55.82,8,45.90,54,52.63,60.26,52.88,63.95,56.23,53.71
C116_2014,Birmingham,GBR,2014-2015,916999,58.87,39.33,34.57,64.82,53.46,8,62.62,44,60.54,59.13,54.53,34.66,45.09,50.88
C117_2014,Bishkek,KGZ,2014-2015,785077,54.24,54.14,32.72,57.38,61.57,9,56.66,43,44.50,55.39,58.10,40.52,56.56,51.75
C118_2014,Biskra,DZA,2014-2015,785077,58.40,57.34,52.04,51.39,48.79,7,60.96,56,65.46,35.83,60.39,55.82,48.69,53.67
C119_2014,Blantyre Limbe,MWI,2014-2015,717967,57.75,50.21,42.56,57.77,70.20,11,58.60,56,44.46,76.58,67.99,68.16,60.26,59.68
C120_2014,Bobo Dioulasso,BFA,2014-2015,1030997,65.80,58.32,37.43,42.08,75.08,11,57.88,54,64.44,55.43,51.00,66.13,46.27,55.41
C121_2014,Bogor,IDN,2014-2015,9434817,60.72,53.02,63.61,48.06,44.13,7,63.53,61,74.51,73.50,60.77,55.09,60.39,59.66
C122_2014,Bogota,COL,2014-2015,9434817,52.02,19.66,27.51,65.36,55.76,8,47.29,34,53.01,62.97,33.23,27.38,47.02,43.92
C123_2014,Bogra,BGD,2014-2015,780591,55.25,52.20,51.78,56.22,49.73,7,70.20,55,45.83,70.08,67.95,41.96,54.87,56.08
C124_2014,Bologna,ITA,2014-2015,898577,80.58,51.41,39.96,40.90,71.76,11,75.62,56,94.35,43.11,61.89,52.75,62.52,59.43
C125_2014,Bordeaux,FRA,2014-2015,4140992,56.38,48.01,36.67,45.37,76.25,11,74.07,51,18.83,60.09,56.95,43.52,52.68,51.24
C126_2014,Boston,USA,2014-2015,481535,62.25,33.03,47.08,54.27,49.62,7,66.85,56,70.28,64.75,59.63,54.95,41.64,54.21
C127_2014,Bouake,CIV,2014-2015,562863,50.03,75.76,37.64,73.23,40.24,6,50.74,49,59.12,63.66,51.24,57.74,60.25,56.96
C128_2014,Bozhou,CHN,2014-2015,4072397,60.08,56.66,59.32,56.40,48.73,7,72.56,61,58.94,53.85,57.47,52.39,50.07,56.64
C129_2014,Brasilia,BRA,2014-2015,423121,46.84,30.62,44.68,57.12,47.57,7,44.10,42,48.85,43.31,36.96,36.79,52.46,44.25
C130_2014,Bratislava,SVK,2014-2015,1874637,65.41,29.62,40.01,57.41,75.81,11,56.23,51,64.18,76.48,42.25,57.72,37.24,53.70
C131_2014,Brazzaville,COG,2014-2015,558907,59.12,55.52,57.93,48.30,64.24,10,56.39,57,56.74,53.55,51.62,55.97,62.93,56.32
C132_2014,Bremen,DEU,2014-2015,341243,56.30,56.31,45.46,73.41,59.62,9,64.16,52,45.13,63.50,58.03,47.23,56.39,56.92
C133_2014,Brest,BLR,2014-2015,2172709,54.66,73.38,54.54,51.49,49.32,7,59.52,59,55.14,60.96,53.78,61.95,55.20,57.53
C134_2014,Brisbane,CCK,2014-2015,376255,68.27,39.78,53.78,67.43,75.46,11,66.48,60,62.88,68.36,47.30,59.49,39.59,58.06
C135_2014,Brno,CZE,2014-2015,1986986,51.66,55.52,32.72,46.81,45.98,7,55.70,52,53.30,50.80,62.81,66.25,54.69,52.46
C136_2014,Brussels,BEL,2014-2015,1179800,56.02,33.59,25.53,12.46,43.68,7,62.05,47,62.32,57.25,43.36,53.67,42.37,43.63
C137_2014,Bucaramanga,COL,2014-2015,1858195,63.54,55.59,39.62,55.96,74.91,11,69.66,52,46.06,30.01,56.49,46.06,84.64,55.90
C138_2014,Bucharest,ROU,2014-2015,846256,55.85,25.28,29.42,55.60,49.66,7,46.15,40,71.74,62.69,41.09,45.19,69.25,49.61
C139_2014,Bucheon,KOR,2014-2015,1741381,53.98,52.48,45.27,59.50,60.47,9,58.00,49,43.46,66.40,63.58,42.41,34.25,52.58
C140_2014,Budapest,HUN,2014-2015,14619510,58.45,40.52,36.16,24.47,57.42,9,48.64,47,69.29,74.83,41.60,55.47,31.79,48.02
C141_2014,Buenos Aires,ARG,2014-2015,707191,43.65,35.74,31.10,59.02,30.11,5,50.30,38,50.54,58.75,40.55,33.68,13.57,40.34
C142_2014,Bujumbura,BDI,2014-2015,791296,63.64,63.36,73.25,52.00,43.22,6,68.87,65,78.84,33.59,56.96,52.28,73.40,59.58
C143_2014,Bukavu,COD,2014-2015,454104,61.94,40.36,39.80,37.42,63.24,9,62.02,53,60.57,46.74,49.51,57.44,43.81,50.09
C144_2014,Bunia,COD,2014-2015,659404,45.41,44.32,39.52,49.76,32.62,5,52.71,47,50.90,47.89,58.99,50.05,58.41,48.52
C145_2014,Bur Sa'id,EGY,2014-2015,597261,65.10,67.66,36.37,48.91,60.92,9,59.90,52,74.48,37.01,72.23,59.44,67.41,58.43
C146_2014,Buraydah,SAU,2014-2015,1783894,60.15,44.54,35.45,56.65,54.08,8,58.35,47,68.02,41.69,61.65,45.86,60.13,52.64
C147_2014,Bursa,TUR,2014-2015,3439670,70.41,46.04,44.73,41.22,53.61,8,79.56,62,78.05,59.12,61.18,62.31,70.23,59.61
C148_2014,Busan,KOR,2014-2015,326224,67.28,53.75,30.67,51.01,59.98,9,70.30,55,71.57,47.10,45.43,64.84,42.70,53.74
C149_2014,Butuan,PHL,2014-2015,320787,54.57,61.32,45.75,59.01,55.62,8,61.62,52,46.48,46.87,60.87,48.66,51.13,53.73
C150_2014,Bydgoszcz,POL,2014-2015,559188,60.71,59.64,69.03,62.58,61.87,9,59.47,61,60.79,59.53,49.24,55.05,37.85,57.51
C151_2014,Cabinda,AGO,2014-2015,321368,55.42,69.52,50.78,71.48,53.71,8,75.33,62,37.22,49.53,64.24,59.37,45.03,57.62
C152_2014,Cagayan De Oro,PHL,2014-2015,659984,60.00,58.16,35.95,33.65,54.33,8,67.30,50,58.38,35.05,68.76,46.01,42.05,49.96
C153_2014,Cairo,EGY,2014-2015,18419138,52.32,25.92,18.38,24.75,33.00,5,50.57,37,73.39,39.35,37.86,42.15,6.49,35.19
C154_2014,Calamba,PHL,2014-2015,460857,67.31,49.13,46.25,44.36,68.24,10,61.69,53,71.99,78.03,58.39,51.63,68.47,59.82
C155_2014,Calgary,CAN,2014-2015,1323676,63.28,54.13,57.97,46.20,66.04,10,57.94,52,65.87,72.46,49.72,40.36,83.50,59.42
C156_2014,Cali,COL,2014-2015,2524409,56.58,66.72,46.85,39.38,52.22,8,62.50,59,55.03,53.47,50.93,66.52,81.12,57.47
C157_2014,Callao,PER,2014-2015,964708,51.47,50.72,40.66,47.42,50.26,8,58.39,49,45.76,63.20,59.13,48.68,56.18,52.04
C158_2014,Caloocan,PHL,2014-2015,1557,68.39,46.11,58.32,60.11,62.32,9,63.15,62,79.70,49.29,60.29,64.72,78.08,62.21
C159_2014,Camaguey,CUB,2014-2015,303127,63.74,48.80,65.36,48.25,68.90,10,51.37,58,70.95,53.90,58.00,57.54,98.16,62.12
C160_2014,Camayenne,GIN,2014-2015,1574792,48.17,41.63,37.91,62.36,29.93,4,59.83,50,54.75,55.12,63.74,51.73,47.64,50.46
C161_2014,Campinas,BRA,2014-2015,2994328,57.35,49.09,52.86,35.43,43.34,7,58.01,60,70.70,60.02,65.44,67.80,64.25,56.69
C162_2014,Campo Grande,BRA,2014-2015,823949,53.35,55.60,35.80,71.34,58.64,9,56.11,48,45.31,47.52,63.31,51.98,71.96,55.76
C163_2014,Can Tho,VNM,2014-2015,1108429,54.51,46.63,56.49,55.60,52.56,8,69.39,60,41.59,55.50,57.91,53.65,66.09,55.54
C164_2014,Canberra,AUS,2014-2015,775743,65.89,59.47,88.49,46.77,83.06,12,82.30,81,32.32,76.61,71.18,71.13,42.60,65.39
C165_2014,Cancun,MEX,2014-2015,3995880,55.44,65.66,54.71,52.20,48.02,7,67.67,51,50.64,42.67,50.88,31.84,26.03,49.03
C166_2014,Cape Town,ZAF,2014-2015,2915185,55.55,44.04,37.97,49.82,53.55,8,47.66,39,65.43,54.09,52.20,31.67,72.70,50.91
C167_2014,Caracas,VEN,2014-2015,372487,61.46,61.70,53.38,51.05,45.95,7,68.20,59,70.23,62.54,61.37,55.58,83.42,61.34
C168_2014,Cardiff,GBR,2014-2015,980923,59.85,33.99,38.66,48.12,71.10,11,70.42,54,38.04,67.93,58.78,51.68,31.74,51.05
C169_2014,Carrefour,HTI,2014-2015,3563408,62.48,47.76,38.09,56.97,54.28,8,59.46,53,73.70,68.52,66.84,60.49,40.45,56.66
C170_2014,Cartagena,COL,2014-2015,578080,50.46,60.57,64.23,78.07,43.32,6,65.08,57,42.98,63.18,57.05,42.40,63.32,58.02
C171_2014,Casablanca,MAR,2014-2015,910658,69.39,69.62,51.24,10.04,83.86,13,58.59,50,65.71,59.44,55.25,40.28,18.21,51.22
C172_2014,Catania,ITA,2014-2015,1031570,64.63,55.63,54.40,67.19,49.74,7,71.14,55,73.02,51.81,52.92,39.50,35.26,55.06
C173_2014,Cebu,PHL,2014-2015,3894899,53.50,43.52,21.16,57.69,53.26,8,55.72,42,51.52,60.51,46.81,49.86,49.02,48.91
C174_2014,Chandigarh,IND,2014-2015,694668,67.95,53.85,55.30,43.46,73.06,11,71.63,67,59.16,47.83,62.04,73.91,72.76,61.30
C175_2014,Changchun,CHN,2014-2015,3908880,50.12,65.18,46.88,52.97,39.84,6,49.84,52,60.68,48.13,63.42,59.72,64.64,55.13
C176_2014,Changde,CHN,2014-2015,692105,59.12,66.97,31.75,40.48,74.14,11,61.77,47,41.46,80.43,62.65,46.21,37.51,54.34
C177_2014,Changsha,CHN,2014-2015,1058914,48.08,66.27,60.14,51.72,39.84,6,59.49,54,44.90,83.66,55.72,41.40,59.39,56.25
